date,up_rain_sum,stage_mean,stage_max,up_rain_prev1,up_rain_prev3,up_rain_prev7,stage_max_prev1,stage_mean_prev1,is_flood,gurd_rain,gurd_rain_prev1,gurd_rain_prev3,gurd_rain_prev7
2020-06-29,0.0,348.38740720176634,349.359,0.0,0.0,0.0,348.947,348.94393464324,True,0.0,0.0,0.0,0.0
2020-09-08,2.365798265,72.74916666666667,145.49833333333333,0.0,0.0,0.0,349.359,348.38740720176634,False,0.0,0.0,0.0,0.0
2020-09-09,0.19244628500000002,323.7475416666667,349.234,2.365798265,2.3657982650000036,2.365798265,145.49833333333333,72.74916666666667,False,0.0,0.0,0.0,0.0
2020-09-10,1.043686344,349.2242083333333,349.247,0.19244628500000002,2.5582445500000035,2.55824455,349.234,323.7475416666667,False,0.0,0.0,0.0,0.0
2020-09-11,0.314056102,349.2265613207547,349.248,1.043686344,3.601930894000003,3.6019308939999997,349.247,349.2242083333333,False,0.0,0.0,0.0,0.0
2020-09-12,2.230869081,349.2352830188679,349.2361886792453,0.314056102,1.5501887310000035,3.915986996,349.248,349.2265613207547,False,0.0,0.0,0.0,0.0
2020-09-13,0.0,349.222,349.222,2.230869081,3.5886115270000034,6.146856077,349.2361886792453,349.2352830188679,False,0.0,0.0,0.0,0.0
2020-09-14,0.0,349.2353333333333,349.253,0.0,2.5449251830000037,6.146856077,349.222,349.222,False,0.0,0.0,0.0,0.0
2020-09-15,0.0,349.197375,349.298,0.0,2.2308690810000034,6.146856077,349.253,349.2353333333333,False,0.0,0.0,0.0,0.0
2020-09-16,0.0,349.07725,349.144,0.0,0.0,3.781057812,349.298,349.197375,False,0.0,0.0,0.0,0.0
2020-09-17,0.0,349.03187499999996,349.067,0.0,0.0,3.588611527,349.144,349.07725,False,0.0,0.0,0.0,0.0
2020-09-18,0.0,349.0505416666667,349.308,0.0,0.0,2.544925183,349.067,349.03187499999996,False,0.0,0.0,0.0,0.0
2020-09-19,0.0,349.16633333333334,349.289,0.0,0.0,2.230869081,349.308,349.0505416666667,False,0.0,0.0,0.0,0.0
2020-09-20,0.0,349.10560416666664,349.225,0.0,0.0,0.0,349.289,349.16633333333334,False,0.0,0.0,0.0,0.0
2020-09-21,0.0,349.11375,349.151,0.0,0.0,0.0,349.225,349.10560416666664,False,0.0,0.0,0.0,0.0
2020-09-22,0.0,349.22425,349.433,0.0,0.0,0.0,349.151,349.11375,False,0.0,0.0,0.0,0.0
2020-09-23,0.0,349.2184391304348,349.252,0.0,0.0,0.0,349.433,349.22425,False,0.0,0.0,0.0,0.0
2020-09-24,0.0,349.2066666666667,349.441,0.0,0.0,0.0,349.252,349.2184391304348,False,0.0,0.0,0.0,0.0
2020-09-25,0.0,349.24199999999996,349.471,0.0,0.0,0.0,349.441,349.2066666666667,False,0.0,0.0,0.0,0.0
2020-09-26,0.0,349.2846666666667,349.416,0.0,0.0,0.0,349.471,349.24199999999996,False,0.0,0.0,0.0,0.0
2020-09-27,0.0,349.25712500000003,349.38,0.0,0.0,0.0,349.416,349.2846666666667,False,0.0,0.0,0.0,0.0
2020-09-28,0.0,349.13310416666667,349.213,0.0,0.0,0.0,349.38,349.25712500000003,False,0.0,0.0,0.0,0.0
2020-09-29,0.0,348.97320833333333,349.234,0.0,0.0,0.0,349.213,349.13310416666667,False,0.0,0.0,0.0,0.0
2020-09-30,0.0,349.1671666666667,349.329,0.0,0.0,0.0,349.234,348.97320833333333,False,0.0,0.0,0.0,0.0
2020-10-01,0.064966153,349.2272083333333,349.303,0.0,0.0,0.0,349.329,349.1671666666667,False,0.0,0.0,0.0,0.0
2020-10-02,0.488807665,349.2295833333333,349.315,0.064966153,0.06496615300000355,0.064966153,349.303,349.2272083333333,False,0.0,0.0,0.0,0.0
2020-10-03,1.6032160739999999,349.218,349.24,0.488807665,0.5537738180000036,0.553773818,349.315,349.2295833333333,False,0.0,0.0,0.0,0.0
2020-10-04,1.157980309,349.1625833333333,349.278,1.6032160739999999,2.1569898920000035,2.156989892,349.24,349.218,False,0.0,0.0,0.0,0.0
2020-10-05,7.338485385,349.2060833333333,349.246,1.157980309,3.2500040480000036,3.314970201,349.278,349.1625833333333,False,0.0,0.0,0.0,0.0
2020-10-06,3.795014581,349.05424999999997,349.226,7.338485385,10.099681768000004,10.653455586,349.246,349.2060833333333,False,0.0,0.0,0.0,0.0
2020-10-07,10.798997525999999,348.79325,348.864,3.795014581,12.291480275000005,14.448470167,349.226,349.05424999999997,False,0.0,0.0,0.0,0.0
2020-10-08,9.622534301,348.74670833333334,348.848,10.798997525999999,21.932497492000003,25.247467692999997,348.864,348.79325,False,0.0,0.0,0.0,0.0
2020-10-09,2.26668796,348.68291666666664,348.798,9.622534301,24.216546408000003,34.805035841,348.848,348.74670833333334,False,0.0,0.0,0.0,0.0
2020-10-10,0.200958687,348.7140416666667,348.832,2.26668796,22.688219787,36.582916135999994,348.798,348.68291666666664,False,0.0,0.0,0.0,0.0
2020-10-11,2.450014438,348.7196666666667,348.854,0.200958687,12.090180948000004,35.180658749,348.832,348.7140416666667,False,0.0,0.0,0.0,0.0
2020-10-12,0.938262788,348.68177083333336,348.856,2.450014438,4.917661085000004,36.472692878,348.854,348.7196666666667,False,0.0,0.0,0.0,0.0
2020-10-13,0.0,348.719,348.894,0.938262788,3.5892359130000036,30.072470281,348.856,348.68177083333336,False,0.0,0.0,0.0,0.0
2020-10-14,0.0,348.79020833333334,348.901,0.0,3.3882772260000036,26.2774557,348.894,348.719,False,0.0,0.0,0.0,0.0
2020-10-15,0.0,348.7293333333334,349.278,0.0,0.9382627880000035,15.478458174,348.901,348.79020833333334,False,0.0,0.0,0.0,0.0
2020-10-16,0.0,348.7768125,348.91,0.0,0.0,5.855923873,349.278,348.7293333333334,False,0.0,0.0,0.0,0.0
2020-10-17,0.0,348.78416666666664,348.859,0.0,0.0,3.589235913,348.91,348.7768125,False,0.0,0.0,0.0,0.0
2020-10-18,0.0,348.6272916666667,348.812,0.0,0.0,3.388277226,348.859,348.78416666666664,False,0.0,0.0,0.0,0.0
2020-10-19,0.0,348.84939583333335,349.119,0.0,0.0,0.938262788,348.812,348.6272916666667,False,0.0,0.0,0.0,0.0
2020-10-20,0.0,348.7319583333333,349.057,0.0,0.0,0.0,349.119,348.84939583333335,False,0.0,0.0,0.0,0.0
2020-10-21,0.0,348.6764166666667,348.907,0.0,0.0,0.0,349.057,348.7319583333333,False,0.0,0.0,0.0,0.0
2020-10-22,0.0,348.64591666666666,348.886,0.0,0.0,0.0,348.907,348.6764166666667,False,0.0,0.0,0.0,0.0
2020-10-23,0.0,348.69197916666667,348.93,0.0,0.0,0.0,348.886,348.64591666666666,False,0.0,0.0,0.0,0.0
2020-10-25,0.0,348.209,348.209,0.0,0.0,0.0,348.93,348.69197916666667,False,0.0,0.0,0.0,0.0
2020-10-26,0.0,348.7322291666667,348.838,0.0,0.0,0.0,348.209,348.209,False,0.0,0.0,0.0,0.0
2020-10-27,0.0,348.6529375,348.927,0.0,0.0,0.0,348.838,348.7322291666667,False,0.0,0.0,0.0,0.0
2020-10-28,0.0,348.7141041666667,348.877,0.0,0.0,0.0,348.927,348.6529375,False,0.0,0.0,0.0,0.0
2020-10-29,0.0,348.7829583333333,348.977,0.0,0.0,0.0,348.877,348.7141041666667,False,0.0,0.0,0.0,0.0
2020-10-30,0.0,348.7767857142857,349.105,0.0,0.0,0.0,348.977,348.7829583333333,False,0.0,0.0,0.0,0.0
2020-10-31,0.0,348.8282291666667,349.04,0.0,0.0,0.0,349.105,348.7767857142857,False,0.0,0.0,0.0,0.0
2020-11-01,1.536099723,348.8185833333334,349.433,0.0,0.0,0.0,349.04,348.8282291666667,False,0.0,0.0,0.0,0.0
2020-11-02,2.036617133,348.85591666666664,349.066,1.536099723,1.5360997230000035,1.536099723,349.433,348.8185833333334,False,0.0,0.0,0.0,0.0
2020-11-03,34.640831657,348.6697916666667,348.934,2.036617133,3.5727168560000035,3.572716856,349.066,348.85591666666664,False,0.0,0.0,0.0,0.0
2020-11-04,0.127325365,348.7311666666667,348.977,34.640831657,38.213548513000006,38.213548513,348.934,348.6697916666667,False,0.0,0.0,0.0,0.0
2020-11-05,3.64541821,348.8141666666667,349.032,0.127325365,36.804774155000004,38.340873878,348.977,348.7311666666667,False,0.0,0.0,0.0,0.0
2020-11-06,1.949029732,348.879875,349.111,3.64541821,38.41357523200001,41.986292088,349.032,348.8141666666667,False,0.0,0.0,0.0,0.0
2020-11-07,34.712168278,348.80958333333336,349.023,1.949029732,5.7217733070000065,43.93532182,349.111,348.879875,False,0.0,0.0,0.0,0.0
2020-11-08,6.827009537,348.51383333333337,349.1,34.712168278,40.30661622000001,78.64749009799999,349.023,348.80958333333336,False,0.0,0.0,0.0,0.0
2020-11-09,2.381093745,348.74541666666664,349.132,6.827009537,43.48820754700001,83.938399912,349.1,348.51383333333337,False,0.0,0.0,0.0,0.0
2020-11-10,0.42233124499999997,348.91504166666664,349.118,2.381093745,43.92027156000001,84.282876524,349.132,348.74541666666664,False,0.0,0.0,0.0,0.0
2020-11-11,1.371019838,348.8442916666666,349.088,0.42233124499999997,9.630434527000007,50.064376112,349.118,348.91504166666664,False,0.0,0.0,0.0,0.0
2020-11-12,20.033315802,348.70604166666664,349.041,1.371019838,4.1744448280000075,51.308070585,349.088,348.8442916666666,False,0.0,0.0,0.0,0.0
2020-11-13,0.0,348.77425,349.053,20.033315802,21.82666688500001,67.695968177,349.041,348.70604166666664,False,0.0,0.0,0.0,0.0
2020-11-14,0.0,348.36825,349.299,0.0,21.40433564000001,65.746938445,349.053,348.77425,False,0.0,0.0,0.0,0.0
2020-11-15,0.0,348.2392916666667,349.226,0.0,20.033315802000008,31.034770167,349.299,348.36825,True,0.0,0.0,0.0,0.0
2020-11-16,0.0,348.9318333333333,349.79,0.0,0.0,24.207760630000003,349.226,348.2392916666667,True,0.0,0.0,0.0,0.0
2020-11-17,0.0,348.63599999999997,349.287,0.0,0.0,21.826666885,349.79,348.9318333333333,True,0.0,0.0,0.0,0.0
2020-11-18,0.0,348.62183333333337,348.816,0.0,0.0,21.404335640000003,349.287,348.63599999999997,True,0.0,0.0,0.0,0.0
2020-11-19,0.0,348.69635416666665,349.079,0.0,0.0,20.033315802,348.816,348.62183333333337,True,0.0,0.0,0.0,0.0
2020-11-20,0.0,348.5160416666667,348.971,0.0,0.0,0.0,349.079,348.69635416666665,True,0.0,0.0,0.0,0.0
2020-11-21,0.0,348.72675000000004,349.27,0.0,0.0,0.0,348.971,348.5160416666667,True,0.0,0.0,0.0,0.0
2020-11-22,0.0,348.76554166666665,349.156,0.0,0.0,0.0,349.27,348.72675000000004,False,0.0,0.0,0.0,0.0
2020-11-23,0.0,348.9428958333333,349.104,0.0,0.0,0.0,349.156,348.76554166666665,False,0.0,0.0,0.0,0.0
2020-11-24,0.0,348.7047083333334,349.11,0.0,0.0,0.0,349.104,348.9428958333333,False,0.0,0.0,0.0,0.0
2020-11-25,0.0,348.4724222996516,348.531,0.0,0.0,0.0,349.11,348.7047083333334,False,0.0,0.0,0.0,0.0
2020-12-30,0.0,347.475,347.475,0.0,0.0,0.0,348.531,348.4724222996516,False,0.0,0.0,0.0,0.0
2020-12-31,0.0,348.3597678571429,348.946,0.0,0.0,0.0,347.475,347.475,0.0,0.0,0.0,0.0,0.0
2021-01-01,2.240475961,348.64016666666663,349.139,0.0,0.0,0.0,348.946,348.3597678571429,False,0.0,0.0,0.0,0.0
2021-01-02,0.6717902649999999,347.92329166666667,349.045,2.240475961,2.240475961000007,2.240475961,349.139,348.64016666666663,False,0.0,0.0,0.0,0.0
2021-01-03,0.445800434,348.1268333333333,349.226,0.6717902649999999,2.912266226000007,2.912266226,349.045,347.92329166666667,False,0.0,0.0,0.0,0.0
2021-01-04,0.210299832,348.1634166666667,349.171,0.445800434,3.358066660000007,3.35806666,349.226,348.1268333333333,False,0.0,0.0,0.0,0.0
2021-01-05,2.2284830959999997,347.86041666666665,349.11,0.210299832,1.327890531000007,3.568366492,349.171,348.1634166666667,False,0.0,0.0,0.0,0.0
2021-01-06,3.7846314530000003,324.77098024691355,347.058,2.2284830959999997,2.884583362000007,5.796849588,349.11,347.86041666666665,False,0.0,0.0,0.0,0.0
2021-01-09,0.443217932,321.5973846153846,348.453,3.7846314530000003,6.223414381000007,9.581481041,347.058,324.77098024691355,False,0.0,0.0,0.0,0.0
2021-01-10,0.711697388,348.35566666666665,348.835,0.443217932,6.456332481000008,10.024698973,348.453,321.5973846153846,False,0.0,0.0,0.0,0.0
2021-01-11,0.12989467999999998,348.309875,348.95,0.711697388,4.939546773000008,8.495920400000001,348.835,348.35566666666665,False,0.0,0.0,0.0,0.0
2021-01-12,2.97640719,348.95545833333335,349.045,0.12989467999999998,1.2848100000000071,7.954024815,348.95,348.309875,False,0.0,0.0,0.0,0.0
2021-01-13,0.0,348.9785677083334,349.045,2.97640719,3.8179992580000075,10.484631571,349.045,348.95545833333335,False,0.0,0.0,0.0,0.0
